Lisboa,48
Porto,40
Braga,19
Setúbal,18
Aveiro,16
Leiria,10
Coimbra,9
Faro,9
Santarém,9
Viseu,8
Madeira,6
Viana do Castelo,6
Açores,5
Vila Real,5
Castelo Branco,4
Beja,3
Bragança,3
Évora,3
Guarda,3
Portalegre,2
Europa,2
Fora da Europa,2
